日付,アカウント名,Twitter Id,Text,TweetURL
2022/08/05 05:24:56,@asd74435656,asd,touhou touhou aaaa,https://twitter.com/asd74435656/status/1555424593959010304
2022/08/05 05:24:56,@artdoer93,🌸💖Artdoer💖🌸,@DisturbedFoza AAAA😳😳😳😳😳😳😳😳😳😳😳😍😍😍😍😍😍😍😍😍😍😍😍🥵🥵🥵🥵🥵🥵,https://twitter.com/artdoer93/status/1555424593061457920
2022/08/05 05:24:53,@jywonsbff,sunsa,@yzch1s aaaa ilytsm!!🫶🏼,https://twitter.com/jywonsbff/status/1555424583326797824
2022/08/05 05:24:52,@awaforger,awa,PLIS KLO BENERAN AAAA BANGET https://t.co/t0WqljSFYM,https://twitter.com/awaforger/status/1555424579245719552
2022/08/05 05:24:50,@83458345,fumi,@AaAa_o9 (´・∀・｀ )ｱﾗﾔﾀﾞ,https://twitter.com/83458345/status/1555424568239501312
2022/08/05 05:24:42,@Twi_stormcat,Twilight ✌️ | rest easy king ❤,@Zephyrusgremlin WHAT IM SORRY I DIDNT KNOW WHAT U MEANT IMNSORTYY AAAA,https://twitter.com/Twi_stormcat/status/1555424537793007617
2022/08/05 05:24:42,@1997aaaa4,おっさん金喰いむし♀,地元の大好きな道祖神の健脚守だからもうそうとしか思えないので近々会いに行きたい,https://twitter.com/1997aaaa4/status/1555424534228267008
2022/08/05 05:24:39,@kittoyusya_aaaa,勇者ああああ,園田1R◎5◯8▲3△1穴7,https://twitter.com/kittoyusya_aaaa/status/1555424521783431169
2022/08/05 05:24:38,@eonni_va,SfsVa,@haesane Aaaa💚💚💚🐻,https://twitter.com/eonni_va/status/1555424520340615169
2022/08/05 05:24:37,@bugpolar,bug 🪱,@DeeeeJesus @5SOSUpdES @500yearsofafi @Lia_in_bloom @BassBlu5 @HeatherRai @l0stboycth @yellowstonw @LIETOMESEAVEY IM OBSESSED AAAA I LOVE IT 😭🫶🫶,https://twitter.com/bugpolar/status/1555424516225961984
2022/08/05 05:24:34,@aaaa1022rou,大西,初めて読んだ漫画はこち亀な気がする。,https://twitter.com/aaaa1022rou/status/1555424501437190144
2022/08/05 05:24:31,@h00NIESUN,nicky,holam me he perdido dd mucho no entiendo nada AAAA,https://twitter.com/h00NIESUN/status/1555424488329805825
2022/08/05 05:24:27,@HunnyButterr,✌︎('ω'✌︎ ),"@mossyfroggy AAAA THANK YOU!!!!! AND YES IDK WHY THEY MAKE IT SO UNBELIEVABLY LOW,,, LIKE A 60 MPH SPEED LIMIT FOR THE HIGHWAY: UNREASONABLE!!!!!",https://twitter.com/HunnyButterr/status/1555424472718462976
2022/08/05 05:24:21,@NaAaaa___UV,Na,@soraruru もうちょっとお休みしてもいいのでは？？,https://twitter.com/NaAaaa___UV/status/1555424447943024640
2022/08/05 05:24:20,@aaaa22350495,aaaaaaa,161481DD :参戦ID参加者募集！Lv150 プロトバハムートhttps://t.co/ZL38MNFDTM,https://twitter.com/aaaa22350495/status/1555424442532372480
2022/08/05 05:24:13,@my_doyyyluvv,(っ.❛ ᴗ ❛.)っ Doy ♡♡,@treasuremenfess AAAA SENENG BNGTT GW,https://twitter.com/my_doyyyluvv/status/1555424414006534145
2022/08/05 05:24:03,@yjksparks,Zero is stuDying,aaaa my zero in albums are finally in transit to ph,https://twitter.com/yjksparks/status/1555424374340997121
2022/08/05 05:24:00,@crowcaIz,crow (it/gore/rot),@nameless_error_ AAAA ZEE THIS LOOKS SOSO CUTE &lt;33,https://twitter.com/crowcaIz/status/1555424362009862145
2022/08/05 05:23:57,@_drizhella,fluv,aaaa cuties 🥺 https://t.co/bQzE5EFEcl,https://twitter.com/_drizhella/status/1555424349464584192
2022/08/05 05:23:56,@uwaaa_aaa_aaaa,🍁⚪️,ベテラン　おじゃまぷよ　@11【81000】主：27万 130%募：☆4集まるまで待てる方SFゆるく(ミス○) 楽しくいきましょう☘スタンプ他部屋と同じです#プロセカ募集　#プロセカ協力,https://twitter.com/uwaaa_aaa_aaaa/status/1555424345249308672
2022/08/05 05:23:56,@nunalnisharon,chiz | BETW9EN 1&2,aaaa shox ano nga yung minayeon fic na numbers yung title 😭😭😭😭,https://twitter.com/nunalnisharon/status/1555424342821203968
2022/08/05 05:23:46,@yormemoire,rere♡̷̷,"@jungtaehoonwife aaaa cepat sembuh kaak, istirahat yang banyaak! 🥺🥺",https://twitter.com/yormemoire/status/1555424300471316486
2022/08/05 05:23:39,@alisalishas,lisa,@miftakhulholila @literarybase aaaa okaaaay makasii kak! ^^,https://twitter.com/alisalishas/status/1555424272419418113
2022/08/05 05:23:38,@kani1940,カニ,aaaa A607C56A :参戦ID参加者募集！Lv275 ディアスポラhttps://t.co/8IBaWWqXRV,https://twitter.com/kani1940/status/1555424269487984640
2022/08/05 05:23:38,@jeongstd_,‎ Lyn 🎸,@acctodoroki me canse aaaa,https://twitter.com/jeongstd_/status/1555424266249814017
2022/08/05 05:23:36,@Aficii_,afi,@realityssuckss aaaa mauuuu risoll,https://twitter.com/Aficii_/status/1555424260994174979
2022/08/05 05:23:27,@luzmilamunozz,luzmila,Aaaa que paja hablar por mensaje directo en tw amigo,https://twitter.com/luzmilamunozz/status/1555424223182540800
2022/08/05 05:23:24,@okuudoodles,okuu✖️,WAO SUCH GORGEOUS COLORS!! AAAA!!! 😳😭💓🖤🚬✖️💕💕💕,https://twitter.com/okuudoodles/status/1555424209232355329
2022/08/05 05:23:17,@j3llymelss,"JEWI, kinda ia",@JAEHYUKZII AAAA AYO KITA HYPE BARENG😭,https://twitter.com/j3llymelss/status/1555424181038108672
2022/08/05 05:23:13,@luddaniela1,lu🫶🏼,@23sssantimore @sussooss estabas pensando en amor por eso aaaa,https://twitter.com/luddaniela1/status/1555424162260213760
2022/08/05 05:23:12,@lveyunjin,ًًًًًًًًًً,@4kjw_ aaaa sama ako umiii,https://twitter.com/lveyunjin/status/1555424159932764160
2022/08/05 05:23:11,@furasabira,♡,there’s no we without you and I aaaa aa aaye✨✊🏻,https://twitter.com/furasabira/status/1555424154417233920
2022/08/05 05:23:03,@ryuknowcart,radge,aaaa finally tapos na ako sa agenda ko for sg polas!! https://t.co/I4nmNZeKuA,https://twitter.com/ryuknowcart/status/1555424122771243008
